😍	smiling face with heart-eyes	0
❤️	red heart	0
😂	face with tears of joy	0
🔥	fire	0
✨	sparkles	0
😊	smiling face with smiling eyes	0
🚀	rocket	0
💕	two hearts	0
😎	smiling face with sunglasses	0
🤣	rolling on the floor laughing	0
😘	face blowing a kiss	0
💯	hundred points	0
☀️	sun	0
💪	flexed biceps	1
😉	winking face	0
💙	blue heart	0
✅	check mark button	0
🤔	thinking face	0
👍	thumbs up	1
😁	beaming face with smiling eyes	0
🙏	folded hands	1
➡️	right arrow	0
🙌	raising hands	1
🇺🇸	flag: United States	0
📷	camera	0
📸	camera with flash	0
🎄	Christmas tree	0
💜	purple heart	0
😜	winking face with tongue	0
🏛️	classical building	0
👀	eyes	0
💖	sparkling heart	0
💎	gem stone	0
🤡	clown face	0
📈	chart increasing	0
💰	money bag	0
👏	clapping hands	1
👥	busts in silhouette	0
🗣️	speaking head	0
👌	OK hand	1
🤝	handshake	1
🎉	party popper	0
🥰	smiling face with hearts	0
🐻	bear	0
💥	collision	0
⏳	hourglass not done	0
😅	grinning face with sweat	0
🤩	star-struck	0
🌍	globe showing Europe-Africa	0
📍	round pushpin	0
😌	relieved face	0
🤑	money-mouth face	0
📅	calendar	0
🧠	brain	0
📚	books	0
🥳	partying face	0
📉	chart decreasing	0
🚫	prohibited	0
🗺️	world map	0
🙄	face with rolling eyes	0
😆	grinning squinting face	0
👑	crown	0
♥️	heart suit	0
😬	grimacing face	0
😭	loudly crying face	0
📜	scroll	0
🤯	exploding head	0
😩	weary face	0
☺️	smiling face	0
🌱	seedling	0
🤷‍♂️	man shrugging	1
⚖️	balance scale	0
🤗	smiling face with open hands	0
🤦‍♂️	man facepalming	1
😋	face savoring food	0
📏	straight ruler	0
🖤	black heart	0
😳	flushed face	0
💗	growing heart	0
💡	light bulb	0
💻	laptop	0
😴	sleeping face	0
🌊	water wave	0
☠️	skull and crossbones	0
🎶	musical notes	0
☕	hot beverage	0
🙈	see-no-evil monkey	0
🎯	bullseye	0
🤞	crossed fingers	1
🏆	trophy	0
🛠️	hammer and wrench	0
🤫	shushing face	0
⬆️	up arrow	0
✍️	writing hand	1
⚙️	gear	0
💬	speech balloon	0
🤪	zany face	0
🤲	palms up together	1
🌸	cherry blossom	0
📊	bar chart	0
⚡	high voltage	0
😢	crying face	0
🏠	house	0
🚶	person walking	1
💧	droplet	0
⚔️	crossed swords	0
💀	skull	0
🧩	puzzle piece	0
👇	backhand index pointing down	1
⚠️	warning	0
🔍	magnifying glass tilted left	0
💛	yellow heart	0
💨	dashing away	0
🔄	counterclockwise arrows button	0
💸	money with wings	0
📦	package	0
🧪	test tube	0
🤍	white heart	0
🏷️	label	0
🥺	pleading face	0
🤷	person shrugging	1
🌿	herb	0
🤦	person facepalming	1
📖	open book	0
💩	pile of poo	0
❓	red question mark	0
👤	bust in silhouette	0
📝	memo	0
😱	face screaming in fear	0
🩸	drop of blood	0
🏃	person running	1
😠	angry face	0
🚗	automobile	0
🔬	microscope	0
📋	clipboard	0
💭	thought balloon	0
✈️	airplane	0
👉	backhand index pointing right	1
🌳	deciduous tree	0
⭐	star	0
🧐	face with monocle	0
😃	grinning face with big eyes	0
⬇️	down arrow	0
🏗️	building construction	0
👋	waving hand	1
✌️	victory hand	1
🚨	police car light	0
🍀	four leaf clover	0
💋	kiss mark	0
🔁	repeat button	0
🧡	orange heart	0
⏰	alarm clock	0
🎨	artist palette	0
💼	briefcase	0
🏞️	national park	0
🏙️	cityscape	0
➕	plus	0
😈	smiling face with horns	0
😮	face with open mouth	0
😏	smirking face	0
↔️	left-right arrow	0
😔	pensive face	0
💵	dollar banknote	0
😻	smiling cat with heart-eyes	0
🧬	dna	0
🎁	wrapped gift	0
💚	green heart	0
🔢	input numbers	0
🎤	microphone	0
🥂	clinking glasses	0
🛡️	shield	0
😀	grinning face	0
📱	mobile phone	0
🔗	link	0
💞	revolving hearts	0
😒	unamused face	0
🌹	rose	0
🌙	crescent moon	0
📄	page facing up	0
🌌	milky way	0
🍽️	fork and knife with plate	0
❄️	snowflake	0
🏭	factory	0
🙂	slightly smiling face	0
🫠	melting face	0
💃	woman dancing	1
🗓️	spiral calendar	0
🥵	hot face	0
🦠	microbe	0
😄	grinning face with smiling eyes	0
🎮	video game	0
🏁	chequered flag	0
⚛️	atom symbol	0
😵‍💫	face with spiral eyes	0
☝️	index pointing up	1
🧘	person in lotus position	1
✋	raised hand	1
👶	baby	1
🍻	clinking beer mugs	0
🙃	upside-down face	0
‼️	double exclamation mark	0
🛋️	couch and lamp	0
📌	pushpin	0
💔	broken heart	0
🔝	TOP arrow	0
🐶	dog face	0
🌟	glowing star	0
🥇	1st place medal	0
🎬	clapper board	0
🤥	lying face	0
🚪	door	0
🔒	locked	0
🌾	sheaf of rice	0
🖕	middle finger	1
🤓	nerd face	0
🏰	castle	0
🧭	compass	0
🆕	NEW button	0
😤	face with steam from nose	0
🧱	brick	0
🖼️	framed picture	0
🪖	military helmet	0
🥱	yawning face	0
⛰️	mountain	0
🪨	rock	0
🔑	key	0
🍿	popcorn	0
🤏	pinching hand	1
🏖️	beach with umbrella	0
